"student label","game score","coast","game scheduled","percent training sessions attended","overall fitness score","# extra strategy sessions attended","hours of sleep the night before game","early bird/night owl","previous competitive sports","# meals on day prior to game","university year"
1,10.950000000000001,"east coast","noon",0.39,0.38,5,5,"night owl","curling",4,"frosh"
2,35.08,"east coast","noon",0.75,0.51,9,10,"night owl","curling",3,"senior"
3,9.47,"east coast","noon",0.68,0.17,3,5,"night owl","gymnastics",5,"sophomore"
4,32.55,"east coast","noon",0.68,0.84,3,12,"night owl","baseball",6,"sophomore"
5,49.35,"east coast","noon",0.93,0.6900000000000001,9,5,"night owl","martial arts",4,"junior"
6,17.900000000000002,"east coast","noon",0.51,0.33,4,5,"night owl","martial arts",6,"sophomore"
7,21.01,"east coast","noon",0.62,0.05,8,2,"night owl","gymnastics",3,"sophomore"
8,8.46,"east coast","noon",0.19,0.54,7,12,"night owl","frisbee",1,"junior"
9,12.38,"east coast","noon",0.45,0.62,2,9,"night owl","table tennis",4,"junior"
10,8.64,"east coast","noon",0.37,0.35000000000000003,6,2,"night owl","basketball",3,"frosh"
11,71.13,"east coast","evening",0.59,0.89,9,11,"night owl","martial arts",2,"senior"
12,41.87,"east coast","evening",0.66,0.35000000000000003,3,4,"early bird","curling",5,"sophomore"
13,61.59,"east coast","evening",0.6,0.6900000000000001,8,7,"night owl","basketball",3,"frosh"
14,35.22,"east coast","evening",0.39,0.06,6,3,"night owl","gymnastics",4,"sophomore"
15,64.33,"east coast","evening",0.9500000000000001,0.39,10,10,"night owl","table tennis",5,"frosh"
16,37.63,"east coast","evening",0.03,0.02,3,5,"night owl","football",3,"frosh"
17,51.370000000000005,"east coast","evening",0.92,0.53,8,3,"early bird","curling",5,"sophomore"
18,36.2,"east coast","evening",0.34,0.47000000000000003,2,3,"night owl","table tennis",4,"junior"
19,53.03,"east coast","evening",0.38,0.45,7,5,"night owl","martial arts",2,"junior"
20,46.7,"east coast","evening",0.41000000000000003,0.5700000000000001,4,6,"night owl","martial arts",3,"sophomore"
21,36.72,"east coast","evening",0.17,0.22,8,11,"night owl","curling",2,"sophomore"
22,53.33,"east coast","evening",0.97,0.75,8,10,"early bird","baseball",6,"frosh"
23,30.5,"east coast","evening",0.18,0.66,1,1,"night owl","martial arts",2,"junior"
24,27.,"east coast","evening",0.78,0.26,6,1,"night owl","gymnastics",5,"junior"
25,64.8,"east coast","evening",0.9500000000000001,0.73,9,10,"night owl","football",5,"junior"
26,12.36,"east coast","evening",0.05,0.41000000000000003,0,1,"night owl","martial arts",3,"sophomore"
27,59.75,"east coast","evening",0.6,0.51,9,1,"night owl","martial arts",2,"junior"
28,45.25,"east coast","evening",0.71,0.84,6,8,"early bird","table tennis",4,"senior"
29,41.550000000000004,"east coast","evening",0.59,0.54,8,11,"night owl","baseball",3,"junior"
30,31.82,"east coast","evening",0.11,0.11,7,9,"night owl","football",2,"junior"
31,67.7,"east coast","noon",0.96,0.97,6,10,"night owl","curling",4,"senior"
32,47.93,"east coast","noon",0.97,0.4,10,7,"night owl","football",5,"sophomore"
33,47.37,"east coast","noon",0.8200000000000001,0.58,6,7,"night owl","football",5,"junior"
34,49.5,"east coast","noon",0.9500000000000001,0.63,7,2,"night owl","football",3,"junior"
35,22.2,"east coast","noon",0.01,0.3,0,0,"night owl","martial arts",4,"frosh"
36,60.65,"east coast","noon",0.89,0.77,8,11,"early bird","table tennis",5,"junior"
37,57.480000000000004,"east coast","noon",0.91,0.27,10,10,"night owl","football",3,"junior"
38,36.25,"east coast","noon",0.51,0.29,6,5,"early bird","martial arts",5,"frosh"
39,65.32000000000001,"east coast","noon",0.77,0.87,10,11,"night owl","martial arts",2,"senior"
40,26.54,"east coast","noon",0.11,0.28,1,4,"night owl","martial arts",4,"sophomore"
41,41.72,"east coast","evening",0.89,0.73,3,5,"early bird","martial arts",6,"sophomore"
42,48.61,"east coast","evening",0.88,0.39,7,2,"night owl","curling",5,"sophomore"
43,47.92,"east coast","evening",0.58,0.68,3,4,"night owl","basketball",4,"sophomore"
