"student label","game score","coast","game scheduled","percent training sessions attended","overall fitness score","# extra strategy sessions attended","hours of sleep the night before game","early bird/night owl","previous competitive sports","# meals on day prior to game","university year"
1,50.88,"west coast","noon",0.96,0.51,8,7,"night owl","curling",4,"sophomore"
2,31.61,"west coast","noon",0.84,0.,5,3,"night owl","curling",3,"senior"
3,37.62,"west coast","noon",0.31,0.03,3,3,"night owl","gymnastics",5,"sophomore"
4,33.03,"west coast","noon",0.24,1.,2,7,"night owl","baseball",6,"sophomore"
5,54.27,"west coast","noon",0.73,0.91,9,0,"night owl","martial arts",4,"senior"
6,46.58,"west coast","noon",0.96,0.38,5,8,"night owl","martial arts",6,"sophomore"
7,25.13,"west coast","noon",0.98,0.,7,1,"night owl","gymnastics",3,"junior"
8,62.660000000000004,"west coast","noon",0.53,1.,6,10,"night owl","frisbee",1,"junior"
9,31.75,"west coast","noon",0.,0.23,3,6,"night owl","table tennis",4,"senior"
10,36.6,"west coast","noon",0.,0.,7,5,"night owl","basketball",3,"frosh"
11,40.9,"west coast","evening",0.,0.26,7,10,"night owl","martial arts",2,"senior"
12,53.65,"west coast","evening",0.8300000000000001,1.,1,3,"early bird","curling",5,"sophomore"
13,63.39,"west coast","evening",0.9400000000000001,0.52,9,12,"night owl","basketball",3,"frosh"
14,39.980000000000004,"west coast","evening",0.76,0.17,7,5,"night owl","gymnastics",4,"junior"
15,84.97,"west coast","evening",1.,1.,9,10,"night owl","table tennis",5,"frosh"
16,22.080000000000002,"west coast","evening",0.,0.,6,0,"night owl","football",3,"sophomore"
17,34.84,"west coast","evening",0.78,0.6900000000000001,8,0,"early bird","curling",5,"sophomore"
18,32.46,"west coast","evening",0.,0.85,2,0,"night owl","table tennis",4,"junior"
19,41.18,"west coast","evening",0.,0.,7,9,"night owl","martial arts",2,"junior"
20,24.85,"west coast","evening",0.22,0.,0,9,"night owl","martial arts",3,"sophomore"
21,34.04,"west coast","evening",0.,1.,6,7,"night owl","curling",2,"sophomore"
22,51.03,"west coast","evening",0.96,0.58,10,12,"early bird","baseball",6,"frosh"
23,47.93,"west coast","evening",0.35000000000000003,1.,1,2,"night owl","martial arts",2,"junior"
24,22.31,"west coast","evening",0.25,0.19,6,3,"night owl","gymnastics",5,"junior"
25,81.45,"west coast","evening",0.93,1.,9,10,"night owl","football",5,"junior"
26,32.84,"west coast","evening",0.7000000000000001,0.34,1,0,"night owl","martial arts",3,"sophomore"
27,53.04,"west coast","evening",1.,0.,10,1,"night owl","martial arts",2,"junior"
28,39.62,"west coast","evening",0.92,0.4,7,12,"early bird","table tennis",4,"senior"
29,31.77,"west coast","evening",0.9,0.06,4,10,"night owl","baseball",3,"junior"
30,27.52,"west coast","evening",0.,0.05,5,10,"night owl","football",2,"junior"
