"student label","game score","coast","game scheduled","percent training sessions attended","overall fitness score","# extra strategy sessions attended","hours of sleep the night before game","early bird/night owl","previous competitive sports","# meals on day prior to game","university year"
1,40.25,"west coast","noon",1.,0.28,7,7,"night owl","curling",4,"sophomore"
2,20.23,"west coast","noon",0.86,0.,5,3,"night owl","curling",3,"senior"
3,16.9,"west coast","noon",0.41000000000000003,0.,3,4,"night owl","gymnastics",5,"sophomore"
4,29.310000000000002,"west coast","noon",0.2,1.,2,7,"night owl","baseball",6,"sophomore"
5,75.03,"west coast","noon",0.88,1.,10,1,"night owl","martial arts",4,"senior"
6,45.19,"west coast","noon",0.89,0.28,4,7,"night owl","martial arts",6,"sophomore"
7,27.41,"west coast","noon",1.,0.,7,2,"night owl","gymnastics",3,"sophomore"
8,34.410000000000004,"west coast","noon",0.22,0.91,7,11,"night owl","frisbee",1,"junior"
9,8.8,"west coast","noon",0.,0.08,5,7,"night owl","table tennis",4,"junior"
10,26.98,"west coast","noon",0.,0.,7,5,"night owl","basketball",3,"frosh"
11,45.4,"west coast","evening",0.,0.6900000000000001,8,12,"night owl","martial arts",2,"senior"
12,63.160000000000004,"west coast","evening",1.,1.,3,1,"early bird","curling",5,"sophomore"
13,57.04,"west coast","evening",1.,0.19,8,11,"night owl","basketball",3,"frosh"
14,32.81,"west coast","evening",0.65,0.01,8,5,"night owl","gymnastics",4,"junior"
15,73.11,"west coast","evening",1.,0.77,10,11,"night owl","table tennis",5,"frosh"
16,19.04,"west coast","evening",0.13,0.,5,1,"night owl","football",3,"sophomore"
17,49.35,"west coast","evening",1.,0.85,7,0,"early bird","curling",5,"sophomore"
18,37.34,"west coast","evening",0.17,0.97,2,0,"night owl","table tennis",4,"junior"
19,45.37,"west coast","evening",0.12,0.,7,7,"night owl","martial arts",2,"junior"
20,25.87,"west coast","evening",0.22,0.,1,9,"night owl","martial arts",3,"sophomore"
21,26.16,"west coast","noon",0.02,1.,5,7,"night owl","curling",2,"sophomore"
22,42.44,"west coast","noon",1.,0.1,10,11,"early bird","baseball",6,"frosh"
23,50.,"west coast","noon",0.5,1.,0,2,"night owl","martial arts",2,"junior"
24,25.,"west coast","noon",0.26,0.,6,1,"night owl","gymnastics",5,"junior"
25,71.48,"west coast","noon",1.,1.,8,12,"night owl","football",5,"junior"
26,32.02,"west coast","noon",0.74,0.58,0,0,"night owl","martial arts",3,"sophomore"
27,45.18,"west coast","noon",0.84,0.02,9,1,"night owl","martial arts",2,"junior"
28,52.1,"west coast","noon",1.,0.42,8,12,"early bird","table tennis",4,"senior"
29,30.57,"west coast","noon",1.,0.27,4,11,"night owl","baseball",3,"junior"
30,18.72,"west coast","noon",0.06,0.,5,10,"night owl","football",2,"junior"
31,36.660000000000004,"west coast","morning",0.72,0.8200000000000001,5,10,"night owl","curling",4,"senior"
32,28.67,"west coast","morning",1.,0.17,7,9,"night owl","football",5,"sophomore"
33,61.58,"west coast","morning",0.71,1.,8,7,"night owl","football",5,"junior"
34,53.78,"west coast","morning",0.98,0.76,8,1,"night owl","football",3,"junior"
35,24.080000000000002,"west coast","morning",0.,0.98,1,0,"night owl","martial arts",4,"frosh"
36,78.06,"west coast","morning",1.,1.,4,10,"early bird","table tennis",5,"junior"
37,37.81,"west coast","morning",1.,0.55,5,8,"night owl","football",3,"senior"
38,42.36,"west coast","morning",0.,1.,8,4,"early bird","martial arts",5,"frosh"
39,47.35,"west coast","morning",0.9500000000000001,0.55,6,12,"night owl","martial arts",2,"senior"
40,38.07,"west coast","morning",1.,0.42,1,7,"night owl","martial arts",4,"sophomore"
41,31.990000000000002,"west coast","noon",0.97,0.,2,9,"early bird","martial arts",6,"sophomore"
42,22.900000000000002,"west coast","noon",0.,0.86,4,4,"night owl","curling",5,"junior"
43,49.57,"west coast","noon",0.92,0.41000000000000003,8,5,"night owl","basketball",4,"junior"
44,34.45,"west coast","noon",0.84,0.4,5,3,"night owl","frisbee",5,"sophomore"
45,21.78,"west coast","noon",0.,0.34,2,12,"night owl","frisbee",3,"frosh"
46,71.33,"west coast","noon",0.92,1.,7,9,"night owl","football",3,"senior"
47,14.46,"west coast","noon",0.,0.,2,12,"night owl","gymnastics",6,"junior"
48,14.09,"west coast","noon",0.01,0.81,9,1,"early bird","table tennis",3,"frosh"
49,23.01,"west coast","noon",0.38,0.,0,12,"night owl","baseball",3,"senior"
50,29.35,"west coast","noon",0.,0.,3,3,"night owl","baseball",5,"frosh"
51,19.990000000000002,"west coast","noon",0.,0.08,4,5,"night owl","curling",2,"frosh"
52,57.25,"west coast","noon",0.71,1.,5,1,"night owl","frisbee",4,"junior"
53,40.160000000000004,"west coast","noon",0.32,0.92,7,11,"night owl","table tennis",4,"frosh"
54,57.72,"west coast","noon",1.,0.61,9,9,"night owl","table tennis",5,"sophomore"
55,23.75,"west coast","noon",0.,0.72,6,5,"night owl","martial arts",5,"sophomore"
56,6.75,"west coast","noon",0.,0.11,0,0,"night owl","football",6,"sophomore"
57,0.,"west coast","noon",0.31,0.71,3,0,"night owl","football",6,"junior"
