"student label","game score","coast","game scheduled","percent training sessions attended","overall fitness score","# extra strategy sessions attended","hours of sleep the night before game","early bird/night owl","previous competitive sports","# meals on day prior to game","university year"
1,29.51,"east coast","noon",0.5700000000000001,0.,7,4,"night owl","curling",4,"frosh"
2,39.25,"east coast","noon",1.,0.,7,10,"night owl","curling",3,"senior"
3,46.06,"east coast","noon",0.8300000000000001,0.03,2,5,"night owl","gymnastics",5,"sophomore"
4,0.,"east coast","noon",0.08,0.52,2,9,"night owl","baseball",6,"sophomore"
5,78.31,"east coast","noon",1.,0.96,8,3,"night owl","martial arts",4,"junior"
6,42.15,"east coast","noon",0.8,0.21,6,5,"night owl","martial arts",6,"sophomore"
7,31.970000000000002,"east coast","noon",0.62,0.,7,2,"night owl","gymnastics",3,"sophomore"
8,29.27,"east coast","noon",0.07,0.,7,12,"night owl","frisbee",1,"junior"
9,17.27,"east coast","noon",0.31,0.,2,9,"night owl","table tennis",4,"junior"
10,13.97,"east coast","noon",0.07,0.47000000000000003,6,4,"night owl","basketball",3,"frosh"
11,46.89,"east coast","noon",0.1,0.77,9,12,"night owl","martial arts",2,"senior"
12,63.7,"east coast","noon",1.,1.,3,3,"early bird","curling",5,"sophomore"
13,76.32000000000001,"east coast","noon",0.8300000000000001,1.,7,8,"night owl","basketball",3,"frosh"
14,17.64,"east coast","noon",0.07,0.,3,4,"night owl","gymnastics",4,"junior"
15,75.74,"east coast","noon",0.9500000000000001,1.,10,10,"night owl","table tennis",5,"frosh"
16,42.78,"east coast","noon",0.,0.39,1,4,"night owl","football",3,"frosh"
17,42.160000000000004,"east coast","noon",0.8300000000000001,0.79,6,1,"early bird","curling",5,"sophomore"
18,18.21,"east coast","noon",0.,1.,2,1,"night owl","table tennis",4,"junior"
19,30.810000000000002,"east coast","noon",0.2,0.,6,6,"night owl","martial arts",2,"junior"
20,28.26,"east coast","noon",0.5700000000000001,0.,1,8,"night owl","martial arts",3,"sophomore"
21,36.92,"east coast","noon",0.01,0.71,7,11,"night owl","curling",2,"sophomore"
22,51.09,"east coast","noon",0.67,0.77,9,12,"early bird","baseball",6,"frosh"
23,36.01,"east coast","noon",0.64,0.56,0,1,"night owl","martial arts",2,"junior"
24,16.79,"east coast","noon",0.61,0.16,3,1,"night owl","gymnastics",5,"junior"
25,57.160000000000004,"east coast","noon",1.,0.81,8,12,"night owl","football",5,"junior"
26,0.,"east coast","noon",0.,0.,0,0,"night owl","martial arts",3,"sophomore"
27,54.69,"east coast","noon",0.81,0.56,10,0,"night owl","martial arts",2,"junior"
28,61.230000000000004,"east coast","noon",1.,0.8,10,10,"early bird","table tennis",4,"senior"
29,12.58,"east coast","noon",0.27,0.37,6,12,"night owl","baseball",3,"junior"
30,25.21,"east coast","noon",0.,0.12,6,10,"night owl","football",2,"junior"
31,61.97,"east coast","noon",0.81,0.8,7,11,"night owl","curling",4,"senior"
32,42.480000000000004,"east coast","noon",0.85,0.,9,10,"night owl","football",5,"sophomore"
33,68.16,"east coast","noon",0.68,1.,7,6,"night owl","football",5,"junior"
34,79.71000000000001,"east coast","noon",1.,1.,7,2,"night owl","football",3,"junior"
35,15.98,"east coast","noon",0.07,0.48,0,0,"night owl","martial arts",4,"frosh"
36,64.05,"east coast","noon",1.,0.9400000000000001,5,12,"early bird","table tennis",5,"junior"
37,49.79,"east coast","noon",1.,0.09,8,10,"night owl","football",3,"junior"
38,46.82,"east coast","noon",0.6,0.15,7,3,"early bird","martial arts",5,"frosh"
39,56.58,"east coast","noon",0.48,0.62,8,10,"night owl","martial arts",2,"senior"
40,35.35,"east coast","noon",0.11,0.97,1,6,"night owl","martial arts",4,"sophomore"
41,45.09,"east coast","evening",0.86,0.31,2,6,"early bird","martial arts",6,"sophomore"
42,37.19,"east coast","evening",0.59,0.56,5,3,"night owl","curling",5,"sophomore"
43,69.61,"east coast","evening",0.8300000000000001,0.89,5,5,"night owl","basketball",4,"junior"
44,27.29,"east coast","evening",0.19,0.8,2,2,"night owl","frisbee",5,"frosh"
45,36.46,"east coast","evening",0.03,0.37,5,9,"night owl","frisbee",3,"frosh"
46,70.59,"east coast","evening",0.97,0.58,10,11,"night owl","football",3,"senior"
47,35.410000000000004,"east coast","evening",0.,0.,3,7,"night owl","gymnastics",6,"junior"
48,27.060000000000002,"east coast","evening",0.04,0.,6,1,"early bird","table tennis",3,"frosh"
49,43.43,"east coast","evening",0.9400000000000001,0.52,0,12,"night owl","baseball",3,"senior"
50,25.77,"east coast","evening",0.17,0.16,1,2,"night owl","baseball",5,"frosh"
51,26.93,"east coast","noon",0.,0.,5,5,"night owl","curling",2,"frosh"
52,60.83,"east coast","noon",1.,0.84,4,2,"night owl","frisbee",4,"junior"
53,48.17,"east coast","noon",0.5700000000000001,0.77,4,9,"night owl","table tennis",4,"frosh"
54,68.66,"east coast","noon",0.97,0.92,10,8,"night owl","table tennis",5,"sophomore"
55,20.95,"east coast","noon",0.29,0.45,6,7,"night owl","martial arts",5,"sophomore"
56,23.89,"east coast","noon",0.6,0.24,1,2,"night owl","football",6,"sophomore"
57,56.82,"east coast","noon",0.1,0.86,1,0,"night owl","football",6,"junior"
58,42.44,"east coast","noon",0.78,0.,6,7,"night owl","football",3,"frosh"
59,47.38,"east coast","noon",0.64,0.8300000000000001,5,3,"night owl","baseball",3,"senior"
60,45.71,"east coast","noon",0.11,0.9400000000000001,5,0,"night owl","martial arts",3,"senior"
61,42.02,"east coast","noon",0.33,0.9500000000000001,4,7,"early bird","frisbee",3,"junior"
62,34.800000000000004,"east coast","noon",0.37,0.87,4,5,"early bird","basketball",2,"sophomore"
63,40.25,"east coast","noon",0.03,0.91,7,9,"night owl","curling",3,"junior"
64,50.44,"east coast","noon",0.44,0.65,10,12,"night owl","martial arts",2,"junior"
65,35.13,"east coast","noon",0.81,0.08,2,0,"night owl","football",4,"junior"
66,31.93,"east coast","noon",0.04,0.28,8,7,"night owl","table tennis",1,"junior"
67,98.03,"east coast","noon",0.,0.29,1,1,"night owl","football",6,"frosh"
68,30.37,"east coast","noon",0.96,0.2,5,9,"night owl","gymnastics",4,"sophomore"
69,59.72,"east coast","noon",1.,0.89,7,10,"night owl","football",5,"junior"
70,34.86,"east coast","noon",1.,0.,7,0,"night owl","gymnastics",3,"sophomore"
71,27.96,"east coast","noon",0.,0.39,9,2,"night owl","curling",1,"junior"
72,14.11,"east coast","noon",0.19,0.27,5,3,"early bird","curling",3,"junior"
73,49.09,"east coast","noon",0.44,1.,8,3,"night owl","table tennis",4,"sophomore"
74,49.77,"east coast","noon",0.93,0.48,10,9,"early bird","football",5,"sophomore"
75,7.38,"east coast","noon",0.27,0.18,1,0,"night owl","football",5,"sophomore"
76,16.62,"east coast","noon",0.87,0.,6,2,"night owl","baseball",4,"sophomore"
77,29.03,"east coast","noon",0.37,0.,7,8,"night owl","baseball",2,"senior"
78,25.,"east coast","noon",0.9400000000000001,0.,3,0,"night owl","curling",6,"junior"
79,20.47,"east coast","noon",0.1,0.,2,4,"night owl","football",3,"junior"
80,37.33,"east coast","noon",0.8,0.,5,8,"night owl","curling",5,"frosh"
81,76.51,"east coast","noon",1.,1.,9,2,"night owl","curling",3,"senior"
82,64.48,"east coast","noon",0.96,0.93,4,7,"night owl","martial arts",4,"sophomore"
83,57.85,"east coast","noon",1.,0.56,7,7,"night owl","martial arts",6,"sophomore"
84,36.01,"east coast","noon",0.96,0.12,3,6,"night owl","martial arts",4,"sophomore"
85,31.85,"east coast","noon",0.54,0.,9,11,"night owl","curling",4,"junior"
86,47.84,"east coast","noon",0.91,0.,10,12,"night owl","martial arts",3,"sophomore"
87,35.19,"east coast","noon",0.5,0.14,6,8,"night owl","baseball",4,"senior"
88,18.67,"east coast","noon",0.,0.18,1,2,"night owl","football",3,"senior"
89,70.69,"east coast","noon",0.71,1.,6,6,"night owl","basketball",3,"sophomore"
90,68.32000000000001,"east coast","noon",1.,0.81,9,10,"night owl","frisbee",2,"senior"
91,34.47,"east coast","evening",0.99,0.,7,6,"night owl","baseball",6,"sophomore"
92,9.11,"east coast","evening",0.21,0.72,3,11,"early bird","basketball",3,"senior"
93,18.45,"east coast","evening",0.,0.19,2,0,"night owl","curling",6,"frosh"
94,24.93,"east coast","evening",0.84,0.,8,3,"night owl","football",6,"junior"
95,68.27,"east coast","evening",0.97,1.,3,9,"night owl","curling",3,"junior"
96,48.13,"east coast","evening",0.98,0.27,7,7,"night owl","martial arts",3,"sophomore"
97,61.300000000000004,"east coast","evening",0.91,0.86,7,2,"night owl","martial arts",4,"frosh"
98,36.58,"east coast","evening",1.,0.44,7,10,"early bird","curling",4,"senior"
99,47.5,"east coast","evening",0.45,0.91,8,12,"night owl","table tennis",1,"senior"
