"student label","game score","coast","game scheduled","percent training sessions attended","overall fitness score","# extra strategy sessions attended","hours of sleep the night before game","early bird/night owl","previous competitive sports","# meals on day prior to game","university year"
1,62.28,"west coast","noon",1.,0.91,7,5,"night owl","curling",4,"sophomore"
2,36.67,"west coast","noon",0.9,0.14,6,4,"night owl","curling",3,"senior"
3,55.45,"west coast","noon",0.04,0.,2,1,"night owl","gymnastics",5,"sophomore"
4,31.900000000000002,"west coast","noon",0.07,1.,3,8,"night owl","baseball",6,"sophomore"
5,68.63,"west coast","noon",1.,0.85,9,2,"night owl","martial arts",4,"senior"
6,68.83,"west coast","noon",0.93,0.9500000000000001,5,7,"night owl","martial arts",6,"sophomore"
7,34.35,"west coast","noon",0.84,0.04,8,0,"night owl","gymnastics",3,"junior"
8,78.84,"west coast","noon",0.87,0.99,6,9,"night owl","frisbee",1,"junior"
9,9.88,"west coast","noon",0.,0.51,2,7,"night owl","table tennis",4,"senior"
10,41.52,"west coast","noon",0.,0.,5,6,"night owl","basketball",3,"sophomore"
11,24.22,"west coast","noon",0.,0.85,6,9,"night owl","martial arts",2,"senior"
12,44.72,"west coast","noon",1.,0.93,0,4,"early bird","curling",5,"sophomore"
13,64.11,"west coast","noon",1.,0.84,9,12,"night owl","basketball",3,"frosh"
14,24.310000000000002,"west coast","noon",0.44,0.38,6,5,"night owl","gymnastics",4,"junior"
15,53.77,"west coast","noon",1.,0.88,8,10,"night owl","table tennis",5,"frosh"
16,7.49,"west coast","noon",0.,0.,6,2,"night owl","football",3,"sophomore"
17,31.470000000000002,"west coast","noon",0.,1.,10,3,"early bird","curling",5,"junior"
18,0.,"west coast","noon",0.22,0.61,2,1,"night owl","table tennis",4,"junior"
19,28.72,"west coast","noon",0.03,0.,8,9,"night owl","martial arts",2,"junior"
20,12.91,"west coast","noon",0.02,0.09,0,10,"night owl","martial arts",3,"sophomore"
21,57.24,"west coast","evening",0.01,1.,6,5,"night owl","curling",2,"sophomore"
22,42.730000000000004,"west coast","evening",0.8,0.,8,12,"early bird","baseball",6,"frosh"
23,80.8,"west coast","evening",0.9400000000000001,1.,2,3,"night owl","martial arts",2,"senior"
24,35.31,"west coast","evening",0.,0.38,4,3,"night owl","gymnastics",5,"junior"
25,82.31,"west coast","evening",1.,1.,8,10,"night owl","football",5,"junior"
26,53.01,"west coast","evening",1.,0.22,2,1,"night owl","martial arts",3,"sophomore"
27,61.49,"west coast","evening",0.97,0.,10,0,"night owl","martial arts",2,"junior"
28,53.31,"west coast","evening",0.7000000000000001,0.49,5,11,"early bird","table tennis",4,"senior"
29,53.81,"west coast","evening",0.58,0.18,4,9,"night owl","baseball",3,"junior"
30,40.44,"west coast","evening",0.,0.,2,12,"night owl","football",2,"junior"
31,32.71,"west coast","evening",1.,0.05,4,12,"night owl","curling",4,"senior"
32,36.96,"west coast","evening",0.98,0.,3,7,"night owl","football",5,"sophomore"
33,86.07000000000001,"west coast","evening",1.,1.,9,7,"night owl","football",5,"senior"
34,57.07,"west coast","evening",1.,0.72,8,0,"night owl","football",3,"junior"
35,36.980000000000004,"west coast","evening",0.19,1.,0,0,"night owl","martial arts",4,"frosh"
36,58.660000000000004,"west coast","evening",1.,0.98,3,12,"early bird","table tennis",5,"junior"
37,75.74,"west coast","evening",0.86,1.,4,7,"night owl","football",3,"senior"
38,41.54,"west coast","evening",0.,1.,8,2,"early bird","martial arts",5,"frosh"
39,67.72,"west coast","evening",0.96,0.34,8,10,"night owl","martial arts",2,"senior"
40,79.47,"west coast","evening",1.,0.98,0,4,"night owl","martial arts",4,"sophomore"
41,31.25,"west coast","noon",0.88,0.06,2,9,"early bird","martial arts",6,"sophomore"
42,23.67,"west coast","noon",0.,0.97,2,5,"night owl","curling",5,"junior"
43,74.27,"west coast","noon",1.,0.86,10,7,"night owl","basketball",4,"junior"
44,12.870000000000001,"west coast","noon",0.35000000000000003,0.36,5,3,"night owl","frisbee",5,"sophomore"
45,3.19,"west coast","noon",0.08,0.09,1,9,"night owl","frisbee",3,"frosh"
46,48.27,"west coast","noon",0.5700000000000001,0.92,5,9,"night owl","football",3,"senior"
47,0.,"west coast","noon",0.13,0.32,0,12,"night owl","gymnastics",6,"junior"
48,32.65,"west coast","noon",0.08,0.97,7,1,"early bird","table tennis",3,"frosh"
49,21.1,"west coast","noon",0.,0.,0,12,"night owl","baseball",3,"senior"
50,12.96,"west coast","noon",0.06,0.3,2,5,"night owl","baseball",5,"frosh"
51,17.89,"west coast","noon",0.15,0.03,1,7,"night owl","curling",2,"frosh"
52,66.19,"west coast","noon",0.99,0.9400000000000001,3,2,"night owl","frisbee",4,"junior"
53,26.38,"west coast","noon",0.05,0.93,8,11,"night owl","table tennis",4,"frosh"
54,80.88,"west coast","noon",1.,1.,10,9,"night owl","table tennis",5,"sophomore"
55,41.050000000000004,"west coast","noon",0.,1.,7,5,"night owl","martial arts",5,"sophomore"
56,7.63,"west coast","noon",0.45,0.,3,1,"night owl","football",6,"sophomore"
57,47.230000000000004,"west coast","noon",0.87,0.98,1,2,"night owl","football",6,"junior"
58,31.220000000000002,"west coast","noon",0.76,0.13,5,5,"night owl","football",3,"frosh"
59,38.97,"west coast","noon",1.,0.39,6,5,"night owl","baseball",3,"senior"
60,36.27,"west coast","noon",0.19,1.,4,0,"night owl","martial arts",3,"senior"
61,39.21,"west coast","noon",0.,0.12,7,8,"early bird","frisbee",3,"senior"
62,30.87,"west coast","noon",0.,0.,7,5,"early bird","basketball",2,"sophomore"
