"student label","game score","coast","game scheduled","percent training sessions attended","overall fitness score","# extra strategy sessions attended","hours of sleep the night before game","early bird/night owl","previous competitive sports","# meals on day prior to game","university year"
1,34.08,"east coast","noon",0.65,0.,6,5,"night owl","curling",4,"sophomore"
2,39.92,"east coast","noon",0.9500000000000001,0.,5,9,"night owl","curling",3,"senior"
3,35.81,"east coast","noon",0.53,0.,3,6,"night owl","gymnastics",5,"sophomore"
4,18.63,"east coast","noon",0.,0.44,2,9,"night owl","baseball",6,"sophomore"
5,59.050000000000004,"east coast","noon",0.81,0.9,8,2,"night owl","martial arts",4,"junior"
6,30.43,"east coast","noon",1.,0.04,6,5,"night owl","martial arts",6,"sophomore"
7,34.07,"east coast","noon",0.86,0.,6,2,"night owl","gymnastics",3,"sophomore"
8,32.7,"east coast","noon",0.,0.11,9,11,"night owl","frisbee",1,"junior"
9,21.32,"east coast","noon",0.,0.02,2,9,"night owl","table tennis",4,"junior"
10,35.980000000000004,"east coast","noon",0.,0.73,7,3,"night owl","basketball",3,"frosh"
11,29.32,"east coast","noon",0.17,0.51,8,11,"night owl","martial arts",2,"senior"
12,67.91,"east coast","noon",1.,1.,3,3,"early bird","curling",5,"sophomore"
13,59.730000000000004,"east coast","noon",0.59,0.9400000000000001,7,8,"night owl","basketball",3,"frosh"
14,8.39,"east coast","noon",0.11,0.,4,4,"night owl","gymnastics",4,"junior"
15,66.33,"east coast","noon",1.,0.93,10,9,"night owl","table tennis",5,"frosh"
16,0.,"east coast","noon",0.02,0.07,2,5,"night owl","football",3,"frosh"
17,47.300000000000004,"east coast","noon",0.7000000000000001,0.98,8,0,"early bird","curling",5,"sophomore"
18,4.26,"east coast","noon",0.14,0.99,1,0,"night owl","table tennis",4,"junior"
19,26.57,"east coast","noon",0.,0.,6,6,"night owl","martial arts",2,"junior"
20,35.300000000000004,"east coast","noon",0.62,0.16,1,8,"night owl","martial arts",3,"sophomore"
21,34.03,"east coast","noon",0.06,0.9500000000000001,8,10,"night owl","curling",2,"sophomore"
22,36.18,"east coast","noon",0.55,0.61,8,12,"early bird","baseball",6,"frosh"
23,66.75,"east coast","noon",1.,1.,0,1,"night owl","martial arts",2,"junior"
24,0.,"east coast","noon",0.41000000000000003,0.45,3,1,"night owl","gymnastics",5,"junior"
25,69.11,"east coast","noon",1.,0.9500000000000001,10,12,"night owl","football",5,"junior"
26,0.,"east coast","noon",0.1,0.12,0,0,"night owl","martial arts",3,"sophomore"
27,36.09,"east coast","noon",1.,0.,9,0,"night owl","martial arts",2,"junior"
28,46.76,"east coast","noon",0.9,0.49,10,11,"early bird","table tennis",4,"senior"
29,28.240000000000002,"east coast","noon",0.54,0.,7,10,"night owl","baseball",3,"junior"
30,12.65,"east coast","noon",0.,0.,6,10,"night owl","football",2,"junior"
31,59.19,"east coast","evening",1.,0.65,7,10,"night owl","curling",4,"senior"
32,55.28,"east coast","evening",0.93,0.04,10,9,"night owl","football",5,"sophomore"
33,61.870000000000005,"east coast","evening",0.7000000000000001,0.89,8,7,"night owl","football",5,"junior"
34,71.71000000000001,"east coast","evening",1.,0.97,7,2,"night owl","football",3,"junior"
35,19.240000000000002,"east coast","evening",0.02,0.55,0,1,"night owl","martial arts",4,"frosh"
36,63.14,"east coast","evening",1.,1.,6,12,"early bird","table tennis",5,"junior"
37,45.64,"east coast","evening",0.99,0.14,7,9,"night owl","football",3,"senior"
38,30.27,"east coast","evening",0.28,0.73,8,3,"early bird","martial arts",5,"frosh"
