"student label","game score","coast","game scheduled","percent training sessions attended","overall fitness score","# extra strategy sessions attended","hours of sleep the night before game","early bird/night owl","previous competitive sports","# meals on day prior to game","university year"
1,36.83,"west coast","noon",1.,0.17,6,7,"night owl","curling",4,"sophomore"
2,7.72,"west coast","noon",1.,0.02,3,4,"night owl","curling",3,"senior"
3,4.79,"west coast","noon",0.21,0.08,2,5,"night owl","gymnastics",5,"sophomore"
4,6.96,"west coast","noon",0.11,0.89,2,7,"night owl","baseball",6,"sophomore"
5,72.88,"west coast","noon",1.,1.,10,0,"night owl","martial arts",4,"senior"
6,27.28,"west coast","noon",0.97,0.,6,6,"night owl","martial arts",6,"sophomore"
7,23.04,"west coast","noon",0.8300000000000001,0.,7,3,"night owl","gymnastics",3,"sophomore"
8,45.89,"west coast","noon",0.24,1.,7,9,"night owl","frisbee",1,"junior"
9,0.,"west coast","noon",0.,0.01,3,6,"night owl","table tennis",4,"junior"
10,23.23,"west coast","noon",0.,0.52,8,5,"night owl","basketball",3,"frosh"
11,22.650000000000002,"west coast","noon",0.,0.87,9,12,"night owl","martial arts",2,"senior"
12,50.25,"west coast","noon",0.98,1.,2,1,"early bird","curling",5,"sophomore"
13,48.78,"west coast","noon",1.,0.54,7,10,"night owl","basketball",3,"frosh"
14,0.,"west coast","noon",0.34,0.,7,4,"night owl","gymnastics",4,"junior"
15,54.800000000000004,"west coast","noon",1.,0.84,10,10,"night owl","table tennis",5,"frosh"
16,0.,"west coast","noon",0.,0.,3,2,"night owl","football",3,"frosh"
17,47.82,"west coast","noon",1.,0.92,6,1,"early bird","curling",5,"sophomore"
18,0.,"west coast","noon",0.,1.,1,0,"night owl","table tennis",4,"junior"
19,10.96,"west coast","noon",0.,0.,7,7,"night owl","martial arts",2,"junior"
20,22.07,"west coast","noon",0.65,0.,2,9,"night owl","martial arts",3,"sophomore"
21,48.300000000000004,"west coast","noon",0.21,1.,5,8,"night owl","curling",2,"sophomore"
22,57.07,"west coast","noon",1.,0.5,10,12,"early bird","baseball",6,"frosh"
23,64.46000000000001,"west coast","noon",0.71,1.,1,1,"night owl","martial arts",2,"junior"
24,49.86,"west coast","noon",0.2,0.07,6,1,"night owl","gymnastics",5,"junior"
25,73.21000000000001,"west coast","noon",1.,1.,9,12,"night owl","football",5,"junior"
26,33.410000000000004,"west coast","noon",0.23,0.53,0,0,"night owl","martial arts",3,"sophomore"
27,45.93,"west coast","noon",0.97,0.,8,0,"night owl","martial arts",2,"junior"
28,61.83,"west coast","noon",1.,0.81,8,12,"early bird","table tennis",4,"senior"
